"","income","education"
"gov.administrators",1.44453218816371,0.835540347534473
"general.managers",1.27459256715473,0.764413801970175
"accountants",0.522593890909132,1.0310829419448
"purchasing.officers",0.650777191498811,0.814358289170878
"chemists",2.10801759830908,1.04851550939808
"physicists",1.10554889108156,0.637892298958354
"biologists",1.08078798844716,1.42317461895794
"architects",2.42946858196216,1.15611996953921
"civil.engineers",1.4355730673926,1.47421231942
"mining.engineers",1.03396583509863,1.07646745537874
"surveyors",1.78136944890582,1.3427152866323
"draughtsmen",0.575618060073329,0.820700079337906
"computer.programers",0.0131323501197733,0.592172345728109
"economists",-0.0367741958357124,1.15845845462634
"psychologists",1.65792107992988,1.53944241078414
"social.workers",-0.12975023817971,0.993238478198175
"lawyers",1.26695314119218,1.08865764255037
"librarians",-0.179806485366663,0.547342121571597
"vocational.counsellors",0.289105419150491,0.833967705222497
"ministers",0.68674974931973,0.628716557392692
"university.teachers",0.952184778692165,1.54902134932204
"primary.school.teachers",-0.546254310865892,0.408829431234889
"secondary.school.teachers",-0.513421290563131,1.03443395342892
"physicians",2.42439679374881,1.42357744276564
"veterinarians",0.600799290609176,0.622574007281349
"osteopaths.chiropractors",1.39517726186167,1.5733656278535
"nurses",-0.406959052612049,0.275690448870808
"nursing.aides",-1.52967562860053,-0.6212937373934
"physio.therapsts",-0.289986876111458,-0.0488408017115616
"pharmacists",0.764037277519275,0.654431769088528
"medical.technicians",0.0303323254977813,0.45280712999978
"commercial.artists",0.041464923301347,0.310189197750371
"radio.tv.announcers",0.582507721576564,0.284878664957228
"athletes",0.327256262016455,0.335027854040332
"secretaries",-1.04812778082386,0.452709548897123
"typists",-1.12706798806681,-0.0548886785163258
"bookkeepers",-0.130808446714216,-0.0356824181013431
"tellers.cashiers",-0.372384179220431,0.990847104589121
"computer.operators",0.16947014199402,0.424978693862987
"shipping.clerks",-1.24680404218201,0.0819445088336054
"file.clerks",-1.10853846054935,-0.0608497633812418
"receptionsts",-0.702452998566216,0.497754760285583
"mail.carriers",-0.466201289996515,0.205403604423061
"postal.clerks",-0.655225521478869,0.446654009220924
"telephone.operators",-0.870483540842197,0.861448988403503
"collectors",-1.239271632937,-0.0736762680807557
"claim.adjustors",-0.122503354938548,0.83212589826491
"travel.clerks",-0.224689457329843,0.234494856492843
"office.clerks",-0.471983997008161,0.453492304784547
"sales.supervisors",-0.545571332969093,-0.0377776255671792
"commercial.travellers",0.342854587351221,0.862591919174331
"sales.clerks",-1.66639448161321,-0.313342798932067
"newsboys",-1.47175937889161,-0.318260965596485
"service.station.attendant",-0.642141277532362,-0.906826248661768
"insurance.agents",0.0372301201298308,0.4333601242243
"real.estate.salesmen",-0.059495298391729,0.491536605695891
"buyers",-0.626724136673446,-0.0485207407488667
"firefighters",0.656135872011454,-0.237895656197413
"policemen",1.01421494483682,0.395258286996174
"cooks",-1.48699969247158,-1.07196122402227
"bartenders",-1.11787103819642,-1.16023435611176
"funeral.directors",-0.137795988010815,-0.170069612619591
"babysitters",-1.49481176792618,-0.210603234567715
"launderers",-1.74888830338523,-1.38651368140096
"janitors",-1.21009360974645,-1.36287051210134
"elevator.operators",-1.94229632349232,-1.70350707131034
"farmers",0.300203045349117,0.59080947077119
"farm.workers",-1.4874669312816,-1.16563080010306
"rotary.well.drillers",0.12401748631446,-0.76684359664988
"bakers",-0.352849739786811,-0.423215642073798
"slaughterers.1",-0.982391466000667,-0.789487326230787
"slaughterers.2",-0.327121605674603,-0.555961697709616
"canners",-1.27840275722329,-1.34661982279981
"textile.weavers",-1.04594573057514,-1.07005422791994
"textile.labourers",-1.12142224296163,-0.365458354480826
"tool.die.makers",1.01358674497166,-0.343907770233234
"machinists",0.396564625421485,0.0341065468173704
"sheet.metal.workers",-0.264647617561212,-0.728332165373984
"welders",0.591411948893373,-0.922407115779092
"auto.workers",-1.0405828922432,-0.609585198810212
"aircraft.workers",0.0688422118580731,0.0236209328131486
"electronic.workers",-0.619858885148373,-0.0879170463752508
"radio.tv.repairmen",0.446126281188187,-0.120718571574432
"sewing.mach.operators",-1.4853517011826,-0.531741916944541
"auto.repairmen",0.370868129915772,-1.03068335135598
"aircraft.repairmen",0.989110856592922,-0.314257096808786
"railway.sectionmen",-0.0671207618757061,-0.99848062716864
"electrical.linemen",0.496043278258147,-0.41424294336322
"electricians",0.818861178082388,-0.393087768970092
"construction.foremen",1.2532667546478,-0.943305609113885
"carpenters",0.957749071285657,-0.411632823500362
"masons",1.24959543835203,-0.53512820573691
"house.painters",0.385165452536544,-0.591371775103293
"plumbers",1.06161282701278,-0.639360160409837
"construction.labourers",-0.0639394866777528,-0.586966373352033
"pilots",1.37588261079146,1.15182656019274
"train.engineers",1.14234137987092,0.481871182282622
"bus.drivers",-0.28152870641334,-0.68507642235551
"taxi.drivers",-0.758758230443841,-0.668811370514561
"longshoremen",0.193195604319836,-0.899406295818247
"typesetters",0.324161033744756,-0.214239723380458
"bookbinders",-0.252034780065814,0.0545474148916368
